# mA    mW      err
70      0.009   0.001
80      0.016   0.001
90      0.023   0.001
100     0.029   0.001
110     0.035   0.001
120     0.042   0.001
130     0.047   0.001
140     0.055   0.001
150     0.061   0.001
160     0.067   0.001
170     0.074   0.001
180     0.079   0.001
190     0.087   0.001
201     0.094   0.001
210     0.099   0.001
220     0.108   0.001
230     0.117   0.001
240     0.120   0.003
250     0.124   0.002
260     0.131   0.002
270     0.135   0.001
280     0.142   0.001
