# °C    µW
27.0    1.70
27.5    1.70
28.0    1.69
28.5    1.70
29.0    1.72
29.5    1.70
30.0    1.71
30.5    1.74
31.0    1.70
31.5    1.76
31.7    1.79
32.0    1.77
32.3    1.72
32.6    1.75
32.8    1.81
33.0    1.87
33.2    1.89
33.4    1.90
33.6    1.92
33.8    1.96
34.0    2.0
34.2    2.01
34.4    2.02
34.6    2.22
34.8    3.16
35.1    8.8
35.2    10.3
35.3    13.5
35.4    15.9
35.5    19.2
35.6    23.6
35.8    30.9
36.0    36.8
36.2    39.0
36.4    36.4
36.6    31.2
36.8    20.7
37.0    15.0
37.2    7.7
37.4    3.62
37.6    2.35
37.8    2.02
38.0    2.33
38.2    2.55
38.4    2.42
38.6    2.12
38.8    1.84
39.0    1.78
39.2    1.86
39.4    1.99
39.6    1.99
39.8    1.91
40.0    1.80
