# Runs	Motor	T(LR)	N(LR)	T(RL)	N(RL)
#19	228	7000	4086	7394	421
17	228	6270	3671	6616	3877
32	222	12104	7186	12802	7466
31	216	12027	7008	12744	7469
30	210	11968	7191	12708	7378
30	206	12182	7096	12944	7444
31	202	12833	7473	13655	7786
36	198	15179	8766	16168	9106
30	194	12884	7439	13742	7488
30	190	13156	7488	14051	7258
32	186	14330	7736	15333	7873
38	182	17380	8730	18618	9278
30	178	14005	6836	15024	7915
34	174	16219	8001	17432	9708
29	170	14142	7522	15224	8494
29	166	14477	8160	15612	8828
25	162	12776	7038	13803	7299
23	158	12068	7011	13065	7640
25	154	13412	7738	14549	8499
22	150	12103	7084	13160	7778
21	146	11885	7052	12955	7560
22	142	12766	7364	13951	8175
23	138	13722	8163	15030	8657
22	134	13464	7950	14787	8600
16	130	10099	5867	11135	6338
20	126	13016	7599	14384	8307
20	122	13423	7818	14889	8531
19	118	13159	7493	14646	8162
22	114	15751	8774	17604	9514
26	110	19256	10598	21602	11092
24	106	18417	9491	20766	10386
22	102	17462	8476	19767	10529
19	98	15609	7743	17758	9960
17	94	14478	7840	16555	9450
15	90	13361	7539	15377	9002
14	86	13019	7531	15085	8820
13	82	12610	7124	14711	8562
13	78	13205	7718	15535	8808
11	74	11791	6875	14004	8331
12	70	13488	7855	16171	9480

# vim: noet
